Compound,,Ki±SEM(nM),,Selectivity,CLogP12
,l([3H]DAMGO),d([3H]Naltindole),"j([3H]U69,593)",l/d/j,
15a(levorphanol),0.21±0.017,4.2±0.45,2.3±0.26,1/20/11,3.5
24,6.7±1.7,12±2.4,11±0.44,1/1.8/1.6,7.0
3a5a(MCL-101),0.23±0.01,5.9±0.55,0.079±0.003,3/75/1,4.9
3b(butorphanol),0.22±0.012,12±1.1,0.12±0.12,2/100/1,3.7
4a(MCL-474),2.7±0.36,190±12,0.87±0.042,3.1:218:1,7.5
4b(MCL-488),0.32±0.019,63±1.4,0.48±0.10,1:197:1.5,5.6
4c(MCL-489),2.3±0.12,96±10,1.3±0.21,1.9:74:1,6.4
4d(MCL-603),0.061±0.006,22±1.8,0.048±0.003,1.3:458:1,5.2
4e(MCL-601),15±1.6,690±16,18±1.2,1:46:1,7.8
4f(MCL-602),0.22±0.003,23±1.7,0.21±0.009,1:110:1,5.5
5a(MCL-486),55±3.4,760±5.3,67±7.7,1:11:1.2,4.0
5b(MCL-485),18±1.6,490±13,8.6±1.2,2.1:57:1,3.8
5c(MCL-499),21,670,28,1:32:1.3,6.1
5d(MCL-600),10±1.1,500±27,9.0±0.76,1:56:1,5.5
5e(MCL-604),16,1500,28,1:94:1.8,6.23
5f(MCL-605),3.9,930,5.2,1:240:1.3,5.26
